Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual
戦国BASARA クロニクルヒーローズ,Playstation Portable,Japanese,CAPCOM,CAPCOM,2009,No,Yes,No
VitaminZ Revolution,Playstation Portable,Japanese,Hune X,D3 Publisher,2010,No,Yes,No
Diabolik Lovers,Playstation Portable,Japanese,Rejet,Idea Factory,2012,No,Yes,Yes
Amnesia crowd,Playstation Portable,Japanese,Desing Factory,Idea Factory,2013,No,Yes,No
金色のコルダ,Playstation Portable,Japanese,Ruby Party,Koei,2009,No,Yes,Yes
遥かなる時空の中で４,Playstation Portable,Japanese,Koei,Koei,2008,No,Yes,Yes
遙かなる時空の中で3,Playstation Portable,Japanese,Koei,Koei,2009,No,Yes,Yes
薄桜鬼,Playstation Portable,Japanese,Design Factory,Idea Factory,2009,No,Yes,Yes
ファンタシースターポータブル,Playstation Portable,Japanese,SEGA,SEGA,2008,Yes,Yes,Yes
つカレっ☆ 恋愛デビュー宣言,Playstation Portable,Japanese,"Bridge Co., Ltd","Bridge Co., Ltd",2012,No,Yes,Yes
うたの☆プリンスさまっ♪Repeat LOVE,Playstation Portable,Japanese,Nippon Ichi Software,Brocoli,2011,No,Yes,Yes
うたの☆プリンスさまっ♪All Star,Playstation Portable,Japanese,Nippon Ichi Software,Brocoli,2013,No,Yes,Yes
Starry Sky,Playstation Portable,Japanese,Honeybee,Honeybee,2012,No,Yes,Yes
Amnesiaアムネシア,Playstation Portable,Japanese,Design Factory,Idea Factory,2011,No,Yes,Yes
Square Enix Final Fantasy VII Rebirth,Playstation 5,European,Square Enix,Square Enix,2024,No,Yes,Yes
Spider-Man 2,Playstation 5,European,Insomniac Games,Sony Interactive Entertainment,2023,No,Yes,No
Shin Megami Tensei V: Vengeance,Playstation 5,European,ATLUS,SEGA,2024,No,Yes,No
Residnet Evil 4 Remastered,Playstation 5,European,CAPCOM,CAPCOM,2023,No,Yes,No
Puyopuyo Tetris 2,Playstation 5,European,SEGA,SEGA,2020,No,Yes,No
NHL 22,Playstation 5,European,Electronic Arts,Electronic Arts,2021,Yes,Yes,Yes
Metaphor: Rephantazio,Playstation 5,European,ATLUS,SEGA,2024,No,Yes,No
Hogwarts Legacy,Playstation 5,European,Avalanche Software,Warner Bros. Games,2023,No,Yes,Yes
Final Fantasy XVI,Playstation 5,European,Square Enix,Square Enix,2023,No,Yes,Yes
FIFA 22,Playstation 5,European,Electronic Arts,Electronic Arts,2021,Yes,Yes,Yes
Watch Dogs Legion,Playstation 4,European,Ubisoft,Ubisoft,2020,No,Yes,Yes
Uncharted: The Nathan Drake Collection,Playstation 4,European,Naughty Dog,Sony Interactive Entertainment,2018,Yes,Yes,Yes
Titan Quest,Playstation 4,European,Iron Lore Entertainment,Thonordic,2018,No,Yes,No
The Last of Us Part 2,Playstation 4,European,Naughty Dog,Sony Interactive Entertainment,2020,No,Yes,No
Surviving Mars,Playstation 4,European,Haenimont  Games,Paradox Interactive,2018,No,Yes,No
Star Wars Jedi Fallen Order,Playstation 4,European,Respawn Entertainment,Electronic Arts,2019,No,Yes,No
Star Wars Battlefront 2,Playstation 4,European,DICE,Electronic Arts,2017,No,Yes,No
Spider-Man Miles Morales,Playstation 4,European,Insomniac Games,Sony Computer Entertainment,2020,No,Yes,No
Skylanders Trap Team,Playstation 4,European,Toys For Bob,Activision,2014,No,Yes,No
Skylanders Superchargers,Playstation 4,European,Toys For Bob,Activision,2015,No,Yes,No
Puyopuyo Tetris,Playstation 4,European,SEGA,SEGA,2014,No,Yes,No
Owerwatch,Playstation 4,European,Blizzard Entertainment,Blizzard Entertainment,2016,No,Yes,No
MicroMachines,Playstation 4,European,Codemasters,Electronic Arts,2017,No,Yes,No
Little Big Planet 3,Playstation 4,European,Sumo Digital,Sony Interactive Entertainment,2014,No,Yes,Yes
Lego Jurassic World,Playstation 4,European,TT Games,Warner Bros. Games,2015,No,Yes,Yes
inFamous Second Son,Playstation 4,European,Sucker Punch,Sony Interactive Entertainment,2014,Yes,Yes,Yes
Horizion Zero Dawn,Playstation 4,European,Guerrilla,Sony Interactive Entertainment,2017,No,Yes,No
Gran Turismo Sport,Playstation 4,European,Polyphony Digital,Sony Interactive Entertainment,2017,Yes,Yes,Yes
God of War 3 Remastered,Playstation 4,European,Santa Monica Studio,Sony Interactive Entertainment,2015,No,Yes,Yes
God of War,Playstation 4,European,Santa Monica Studio,Sony Interactive Entertainment,2018,No,Yes,Yes
Final Fantasy XV,Playstation 4,European,Square Enix,Square Enix,2016,No,Yes,Yes
Disney Infinity 3.0,Playstation 4,European,Disney,Disney Interactive Studios,2015,No,Yes,Yes
Disney Infinity 2.0,Playstation 4,European,Disney,Disney Interactive Studios,2014,No,Yes,Yes
Destiny  2,Playstation 4,European,Bungie,Activision,2017,No,Yes,No
Destiny,Playstation 4,European,Bungie,Activision,2013,No,Yes,No
Death Stranding,Playstation 4,European,Kojima Productions,505 Games,2019,Yes,Yes,Yes
Dark Souls Remastered,Playstation 4,European,From Software,From Software,2018,No,Yes,No
Crash Bandicoot N Sane Trilogy,Playstation 4,European,Vicarious,Activision,2017,No,Yes,No
Bloodborne,Playstation 4,European,From Software,Sony Computer Entertainment,2015,No,Yes,No
Assassin's Creed Valhalla,Playstation 4,European,Ubisoft,Ubisoft,2020,No,Yes,Yes
Assassin's Creed Odyssey,Playstation 4,European,Ubisoft,Ubisoft,2018,No,Yes,Yes
Siren Blood Curse,Playstation 3,European,Japan Studio,Sony Interactive Entertainment,2008,No,Yes,Yes
Reident Evil 5,Playstation 3,European,Capcom,Capcom,2009,No,Yes,Yes
Marvel: Ultimate Alliance 2,Playstation 3,European,Viscarius Visions,Activision,2009,No,Yes,Yes
龍が如く５,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2012,Yes,Yes,Yes
龍が如く４,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2010,No,Yes,Yes
龍が如く３,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2009,No,Yes,Yes
真三國無双６,Playstation 3,Japanese,Koei,Koei,2011,No,Yes,Yes
真三國無双 ５,Playstation 3,Japanese,Koei,Koei,2007,No,Yes,Yes
機動戦士ガンダムターゲットインサイト,Playstation 3,Japanese,B.B Studio,Bandai Namco Entertainment,2006,No,Yes,Yes
機動戦士ガンダムエクストリームバーサス,Playstation 3,Japanese,Banda Namco Entertainment,Bandai Namco Entertainment,2010,No,Yes,Yes
戦国BASARA4,Playstation 3,Japanese,CAPCOM,CAPCOM,2014,No,Yes,Yes
戦国BASARA 3,Playstation 3,Japanese,CAPCOM,CAPCOM,2010,No,Yes,Yes
実況パワフルプロ野球2013,Playstation 3,Japanese,Konami,Konami,2013,No,Yes,Yes
実況パワフルプロ野球2011,Playstation 3,Japanese,Konami,Konami,2011,No,Yes,Yes
地球防衛軍４,Playstation 3,Japanese,Sandlot,D3 Publisher,2013,No,Yes,Yes
北斗無双,Playstation 3,Japanese,Koei Tecmo,Koei Tecmo,2010,No,Yes,Yes
ワンピース海賊無双３,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2015,No,Yes,Yes
ワンピース海賊無双 2,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2013,No,Yes,Yes
ワンピース海賊無双,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2012,No,Yes,Yes
ワールドサッカーウイニングイレブン2012,Playstation 3,Japanese,Konami,Konami,2011,No,Yes,Yes
ワールドサッカー ウイニングイレブン 2010,Playstation 3,Japanese,Konami,Konami,2009,No,Yes,Yes
ファイナルファンタジーXIII-2,Playstation 3,Japanese,Square Enix,Square Enix,2011,No,Yes,Yes
ファイナルファンタジーXIII,Playstation 3,Japanese,Square Enix,Square Enix,2009,No,Yes,Yes
トルネ,Playstation 3,Japanese,Sony Computer entertainment,Sony Interactive Entertainment,2010,No,Yes,Yes
デビルメイクライ4,Playstation 3,Japanese,CAPCOM,CAPCOM,2008,No,Yes,Yes
デッドライジング 2 オフ・ザ・レコード,Playstation 3,Japanese,CAPCOM,CAPCOM,2011,No,Yes,Yes
デッドライジング 2,Playstation 3,Japanese,CAPCOM,CAPCOM,2010,No,Yes,Yes
テイルズ オブ ベルセリア,Playstation 3,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,2016,No,Yes,Yes
コールオブデューティ4 モダンウォーフェア,Playstation 3,Japanese,Infinity Ward,Activision,2007,No,Yes,Yes
コールオブデューティ モダンウォーフェア 3,Playstation 3,Japanese,Infinity Ward,Activision,2011,No,Yes,Yes
コールオブデューティ モダンウォーフェア ２,Playstation 3,Japanese,Infinity Ward,Activision,2009,No,Yes,Yes
コールオブデューティ ブラックオプス２,Playstation 3,Japanese,Treyarch,Activision,2012,No,Yes,Yes
コールオブデューティ ブラックオプス,Playstation 3,Japanese,Treyarch,Activision,2010,No,Yes,Yes
コールオブデューティ ゴースト,Playstation 3,Japanese,Infinity Ward,Activision,2013,No,Yes,Yes
グランドセフトオート５,Playstation 3,Japanese,Rockstar,Rockstar Games,2013,No,Yes,Yes
グランドセフトオート 4,Playstation 3,Japanese,Rockstar,Rockstar Games,2008,No,Yes,Yes
ガンダム無双 2,Playstation 3,Japanese,Omega Force,Koei,2008,No,Yes,Yes
ガンダム無双,Playstation 3,Japanese,Omega Force,Koei,2007,No,Yes,Yes
ガンダムブレイカー２,Playstation 3,Japanese,Banda Namco Entertainment,Bandai Namco Entertainment,2014,No,Yes,Yes
エースコンバットアサルトホライゾン,Playstation 3,Japanese,Project Aces,Bandai Namco Entertainment,2011,No,Yes,Yes
Worms Collection,Playstation 3,European,Ubisoft,Ubisoft,2012,No,Yes,Yes
Uncharted Drake's Fortune,Playstation 3,European,Naughty Dog,Sony Computer Entertainment,2007,No,Yes,Yes
UFC Undisputed 2010,Playstation 3,European,Yuke's,THQ,2010,No,Yes,Yes
Toy story 3,Playstation 3,European,Avalanche Software,Disney Interactive Studios,2010,No,Yes,Yes
The Evil Within,Playstation 3,European,Tango Gameworks,Bethesda Softworks,2014,No,Yes,Yes
Star Wars The Force Unleashed,Playstation 3,European,Lucasarts,Lucasarts,2008,No,Yes,Yes
South Park The Stick Of The Truth,Playstation 3,European,South Park Digital Studios,Ubisoft,2014,No,Yes,Yes
Sonic All Stars Racing Transformed,Playstation 3,European,SEGA,SEGA,2010,No,Yes,Yes
Sly Cooper Thieves in Time,Playstation 3,European,Sanzaru Games,Sony Interactive Entertainment,2013,No,Yes,Yes
SEGA Superstars Tennis,Playstation 3,European,SEGA,SEGA,2008,No,Yes,Yes
resistance 3,Playstation 3,European,Insomniac,Sony Interactive Entertainment,2011,No,Yes,Yes
Resident Evil 6,Playstation 3,European,CAPCOM,CAPCOM,2012,No,Yes,Yes
Rayman Origins,Playstation 3,European,Ubisoft,Ubisoft,2011,No,Yes,Yes
Rayman Legends,Playstation 3,European,Ubisoft,Ubisoft,2013,No,Yes,Yes
Race Driver Grid,Playstation 3,European,Codemasters,Codemasters,2008,No,Yes,Yes
Prince of Persia,Playstation 3,European,Ubisoft,Ubisoft,2008,No,Yes,Yes
Persona 4 Ultimate Ultra Suplex Hold LIMITED EDITION Arena Ultimax,Playstation 3,Japanese,Atlus,Atlus,2013,No,Yes,Yes
Order Up,Playstation 3,European,SuperVillain Studios,IndiePub,2008,No,Yes,Yes
Ninja Gaiden 3,Playstation 3,European,Team Ninja,Tecmo Koei,2012,No,Yes,Yes
NARUTO-ナルト- 疾風伝 ナルティメットストーム3,Playstation 3,Japanese,CyberConnect 2,Bandai Namco Entertainment,2013,No,Yes,Yes
Little Big Planet 2,Playstation 3,European,Media Molecule,Sony Computer Entertainment,2011,No,Yes,Yes
Little Big Planet  Karting,Playstation 3,European,Sumo Digital,Sony Interactive Entertainment,2012,No,Yes,Yes
Little Big Planet,Playstation 3,European,Media Molecule,Media Molecule,2008,No,Yes,Yes
Lightning Returns: Final Fantasy XIII,Playstation 3,European,Square Enix,Square Enix,2014,No,Yes,Yes
Lego Indiana Jones 2,Playstation 3,European,TT Games,Lucasarts,2009,No,Yes,Yes
H.A.W.X (ホークス）,Playstation 3,Japanese,Ubisoft,Ubisoft,2009,No,Yes,Yes
Grand Theft Auto Episodes From Liberty city,Playstation 3,European,Rockstar,Rockstar Games,2009,No,Yes,Yes
Gran Turismo 5,Playstation 3,European,Polyphony Digital,Sony Computer Entertainment,2010,No,Yes,Yes
FINAL FANTASY XIV: A Realm Reborn,Playstation 3,European,Square Enix,Square Enix,2010,No,Yes,Yes
FIFA 15,Playstation 3,European,Electronic Arts,Electronic Arts,2014,No,No,No
FIFA 12,Playstation 3,European,Electronic Arts,Electronic Arts,2011,No,Yes,Yes
DuckTales: Remastered,Playstation 3,European,Wayfoward Technologies,CAPCOM,2013,No,Yes,Yes
DmC Devil May Cry,Playstation 3,European,Ninja Theory,CAPCOM,2013,No,Yes,Yes
Disney Universe,playstation 3,European,Eurocom,Disney Interactive Studios,2011,No,Yes,Yes
Disney Epic Mickey 2,Playstation 3,European,Junction Point Studios,Disney Interactive Studios,2012,No,Yes,Yes
Diggs Nightcrawler,Playstation 3,European,London Studio,Sony Interactive Entertainment,2013,No,Yes,Yes
Dead Space 3,Playstation 3,European,Visceral Games,Electronic Arts,2013,No,Yes,No
Dead Space 2,Playstation 3,European,Visceral Games,Electronic Arts,2011,No,Yes,Yes
Dead Space,Playstation 3,European,Visceral Games,Electronic Arts,2008,No,Yes,Yes
Biohazard 5,Playstation 3,Japanese,CAPCOM,CAPCOM,2009,No,Yes,Yes
Bejeweled 3,Playstation 3,European,PopCap,Electronic Arts,2010,No,Yes,No
Batman: Arkham Asylum Platinum,Playstation 3,European,Rocksteady Studios,Eidos Interactive,2009,No,Yes,Yes
Batman Arkham City Game of the Year Edition,Playstation 3,European,Rocksteady Studios,Warner Bros,2011,No,Yes,Yes
Angry Birds Star Wars,Playstation 3,European,ROVIO,Activision,2012,No,Yes,No
UEFA Euro 2004,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes
Tony Hawk's Proving Ground,Playstation 2,European,Neversoft,Activision,2007,No,Yes,Yes
TOCA Race Driver 2,Playstation 2,European,Codemasters,Codemasters,2004,No,No,Yes
Tiger Woods PGA Tour 2004 Platinum Edition,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes
Star Wars: Episode III – Revenge of the Sith,Playstation 2,European,The Collective,Lucas Arts,2005,No,Yes,Yes
Spider-Man 2,Playstation 2,European,Vicarious Visions,Activision,2004,No,No,Yes
Socom II: U.S. Navy Seals Platinum,Playstation 2,European,Zipper Interactive,Sony Interactive Studios,2003,No,No,Yes
NHL 2004,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes
NHL 2002,Playstation 2,European,Electronic Arts,Electronic Arts,2001,No,Yes,Yes
NHL 07,Playstation 2,European,Electronic Arts,Electronic Arts,2006,No,Yes,Yes
Need for Speed: Underground,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes
Need for Speed: Hot Pursuit 2,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,Yes,Yes
Medal of Honor: Frontline,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,No,Yes
James Bond 007: Everything or Nothing,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes
Heatseeker,Playstation 2,European,Red Mile Entertainment,Codemasters,2007,No,Yes,Yes
Ford vs Chevy,Playstation 2,European,Eutechnyx,2K Games,2005,No,No,Yes
FIFA 2005,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,No,Yes
FIFA 12,Playstation 2,European,Electronic Arts,Electronic Arts,2011,No,Yes,Yes
EyeToy Play Sports,Playstation 2,European,London Studio,Sony Interactive Studios,2003,No,Yes,Yes
EyeToy Play 3 Platinum,Playstation 2,European,London Studio,Sony Interactive Studios,2005,No,Yes,Yes
Commandos Strike Force,Playstation 2,European,Pyro Studios,Eidos Interactive,2006,No,No,Yes
Casper And The Ghostly Trio,Playstation 2,European,Data Design Interactive,Mastertronic Group,2006,No,Yes,Yes
Cabela's Dangerous Adventures,Playstation 2,European,Fun Labs,Activision,2003,No,Yes,Yes
Brothers in Arms: Road to Hill 30,Playstation 2,European,Gearbox Software,Ubisoft,2005,No,No,Yes
Brothers In Arms Earned In Blood,Playstation 2,European,Gearbox Software,Ubisoft,2005,No,Yes,Yes
Battlefield 2: Modern Combat,Playstation 2,European,Digital Illusions,Electronic Arts,2005,No,Yes,Yes
龍が如く２,Playstation 2,Japanese,Ryu Ga Gotoku Studios,Sega,2006,No,Yes,Yes
鬼武者,Playstation 2,Japanese,CAPCOM,CAPCOM,2001,No,Yes,Yes
真女神転生３ノクターン,Playstation 2,Japanese,Atlus,Atlus,2003,No,Yes,Yes
真・三國無双３,Playstation 2,Japanese,Omega Force,Koei,2003,No,Yes,No
真・三國無双２,Playstation 2,Japanese,Omega Force,Koei,2001,No,Yes,Yes
真・三國無双,Playstation 2,Japanese,Omega Force,Koei,2000,No,Yes,Yes
決戦,Playstation 2,Japanese,Koei,Koei,2000,No,Yes,Yes
桃太郎電鉄11 ブラックボンビー出現!の巻,Playstation 2,Japanese,Hudson Soft,Hudson Soft,2002,No,Yes,Yes
戦国BASARA2英雄外電,Playstation 2,Japanese,CAPCOM,CAPCOM,2006,No,Yes,Yes
実践パチンコ必勝法! 鬼武者,Playstation 2,Japanese,Paon Corporation,Tecmo,2003,No,Yes,Yes
実況パワルプロ野球２００９,Playstation 2,Japanese,Konami,Konami,2009,No,Yes,Yes
実況パワルプロ野球１４,Playstation 2,Japanese,Konami,Konami,2007,No,Yes,No
実戦パチンコ必勝法北斗の券,Playstation 2,Japanese,Paon Corporation,Tecmo,2003,No,Yes,Yes
塊魂,Playstation 2,Japanese,Namco,Namco,2004,No,Yes,Yes
劇空間プロ野球,Playstation 2,Japanese,Square,Square,2000,No,Yes,Yes
信長の野望嵐世記,Playstation 2,Japanese,Koei,Koei,2001,No,Yes,Yes
三國志VIII,Playstation 2,Japanese,Koei,Koei,2001,No,Yes,Yes
ワールドサッカーウイニングイレブン6,Playstation 2,Japanese,Konami,Konami,2002,No,Yes,No
ロマンシングサガミンストレルソング,Playstation 2,Japanese,Square Enix,Square Enix,2005,No,Yes,Yes
みんなのテニス,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2006,No,Yes,Yes
みんなのGOLF3,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2001,No,Yes,Yes
みんあのGOLF4,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2003,No,Yes,Yes
ぼくのなつやすみ２,Playstation 2,Japanese,Millenium Kitchen,Sony Interactive Entertainment,2002,No,Yes,Yes
プロ野球スピリッツ２,Playstation 2,Japanese,Konami,Konami,2005,No,Yes,Yes
ファンタビジョン,Playstation 2,Japanese,Sony Computer Entertainment Japan,Sony Computer Entertainment,2000,No,Yes,Yes
ファイナルファンタジーXII,Playstation 2,Japanese,Square Enix,Square Enix,2006,No,Yes,Yes
ファイナルファンタジーX,Playstation 2,Japanese,Square Enix,Square Enix,2001,No,Yes,Yes
ドラゴンクエストVIII　空と海と大地と呪われし姫君,Playstation 2,Japanese,Armour Project,Square Enix,2004,No,Yes,Yes
ドラゴンクエスト５天空の花嫁,Playstation 2,Japanese,ArtePiazza,Square Enix,2004,No,Yes,No
セイレン,Playstation 2,Japanese,Japan Studio,Sony Interactive Entertainment,2003,No,Yes,Yes
クラナド,Playstation 2,Japanese,Studio Key,Studio Key,2006,No,Yes,Yes
ウイニングポスト５,Playstation 2,Japanese,Koei,Koei,2000,No,Yes,Yes
World Rally Championship,Playstation 2,European,Evolution Studios,Bam! Entertainment,2001,No,Yes,No
Virtua Tennis 2,Playstation 2,European,SEGA,SEGA,2001,No,No,No
Unreal Tournament,Playstation 2,European,Epic Games,Epic Games,2001,No,Yes,Yes
Time Crisis II,Playstation 2,European,Namco,Sony,2001,No,No,No
Theme Park World,Playstation 2,European,Bullfrog Productions,Electronic Arts,2000,No,Yes,Yes
SSX,Playstation 2,European,Electronic Arts,Electronic Arts,2000,No,Yes,Yes
Snowboard Racer 2,Playstation 2,European,Atelier Double,Midas Interactive Entertainment,2003,No,Yes,Yes
Sled Storm,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,Yes,No
Return to Castle Wolfenstein: Operation Resurrection,Playstation 2,European,ID Software,Activision,2001,No,Yes,Yes
Red Faction,Playstation 2,European,Voltion Inc,THQ,2001,No,Yes,No
Rayman Revolution,Playstation 2,European,Ubisoft,Ubisoft,2000,No,Yes,Yes
Play it Pinball,Playstation 2,European,Astroll,Play It,2003,No,Yes,No
Onimusha : Warlords,Playstation 2,European,CAPCOM,CAPCOM,2001,No,Yes,Yes
Neowave the King of Fighters,Playstation 2,European,SNK Coporation,SNK Coporation,2004,No,No,No
Need For Speed Underground 2,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes
Need For Speed Most Wanted,Playstation 2,European,Electronic Arts,Electronic Arts,2005,No,Yes,Yes
Nascar 09,Playstation 2,European,Electronic Arts,Electronic Arts,2008,No,Yes,No
MX vs. ATV Unleashed,Playstation 2,European,Rainbow Studios,THQ,2005,No,Yes,Yes
Midway Arcade Treuasures,Playstation 2,European,Midway Games,Midways Games,2003,No,Yes,No
Metal Gear Solid 2: Sons of Liberty,Playstation 2,European,Konami,Konami,2001,No,Yes,Yes
Kingdom Hearts Platinum,Playstation 2,European,Square,Square,2002,No,Yes,No
Hitman 2 : Silint Assassin,Playstation 2,European,IO Interactive,IO Interactive,2002,No,Yes,Yes
Grand Theft Auto Liberty City Stories,Playstation 2,European,Rockstar,Rockstar Games,2005,No,Yes,No
Gran Turismo 4,Playstation 2,European,Polyphony Digital,Sony Interactive Entertainment,2004,No,Yes,Yes
Gran Turismo 3 A-spec Platinum,Playstation 2,European,Polyphony Digital,Sony Interactive Entertainment,2001,No,Yes,Yes
Gran Turismo 3 A-spec,Playstation 2,European,Polyphony Digital,Sony Interactive Entertainment,2001,No,Yes,Yes
"Gran Turismo 3 ""Prolouge""",Playstation 2,European,Polyphony Digital,Sony Interactive Entertainment,2003,No,Yes,No
Formula One 06,Playstation 2,European,SCE Studio,Sony Interactive Entertainment,2006,No,Yes,Yes
Final Fantasy XII Zodiac Age,Playstation 2,European,Square Enix,Square Enix,2007,No,Yes,Yes
Final Fantasy X-2,Playstation 2,European,Square Enix,Square Enix,2004,No,Yes,Yes
Final Fantasy X,Playstation 2,European,Square Enix,Square Enix,2002,No,Yes,Yes
European Tennis Pro,Playstation 2,European,Magical Company,Pheonix Games,2003,No,Yes,Yes
Devil May Cry,Playstation 2,European,CAPCOM,CAPCOM,2001,No,Yes,No
Crashed,Playstation 2,European,Rage Software,Rage Software,2002,No,Yes,Yes
Colin McRae Rally 3,Playstation 2,European,Codemasters,Codemasters,2003,No,Yes,Yes
Colin McRae Rally 2005 platinum,Playstation 2,European,Codemasters,Codemasters,2004,No,Yes,Yes
Colin McRae Rally 2005,Playstation 2,European,Codemasters,Codemasters,2004,No,Yes,Yes
Burnout Revenge,Playstation 2,European,Electronic Arts,Electronic Arts,2005,No,Yes,Yes
Bomberman Kart,Playstation 2,European,Racejin,Hudson Studios,2001,No,No,No
.Hack //感染拡大,Playstation 2,Japanese,CyberConnect2,Bandai Namco,2002,No,Yes,Yes
